Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Feb  2 2021,93,338
North Carolina,Feb  1 2021,85,337
North Carolina,Jan 31 2021,77,336
North Carolina,Jan 30 2021,90,335
North Carolina,Jan 29 2021,84,334
North Carolina,Jan 28 2021,111,333
North Carolina,Jan 27 2021,79,332
North Carolina,Jan 26 2021,100,331
North Carolina,Jan 25 2021,76,330
North Carolina,Jan 24 2021,89,329
North Carolina,Jan 23 2021,93,328
North Carolina,Jan 22 2021,98,327
North Carolina,Jan 21 2021,113,326
North Carolina,Jan 20 2021,124,325
North Carolina,Jan 19 2021,111,324
North Carolina,Jan 18 2021,85,323
North Carolina,Jan 17 2021,101,322
North Carolina,Jan 16 2021,129,321
North Carolina,Jan 15 2021,101,320
North Carolina,Jan 14 2021,95,319
North Carolina,Jan 13 2021,106,318
North Carolina,Jan 12 2021,113,317
North Carolina,Jan 11 2021,91,316
North Carolina,Jan 10 2021,93,315
North Carolina,Jan  9 2021,95,314
North Carolina,Jan  8 2021,101,313
North Carolina,Jan  7 2021,104,312
North Carolina,Jan  6 2021,92,311
North Carolina,Jan  5 2021,129,310
North Carolina,Jan  4 2021,83,309
North Carolina,Jan  3 2021,83,308
North Carolina,Jan  2 2021,116,307
North Carolina,Jan  1 2021,81,306
North Carolina,Dec 31 2020,94,305
North Carolina,Dec 30 2020,83,304
North Carolina,Dec 29 2020,102,303
North Carolina,Dec 28 2020,80,302
North Carolina,Dec 27 2020,71,301
North Carolina,Dec 26 2020,74,300
North Carolina,Dec 25 2020,77,299
North Carolina,Dec 24 2020,65,298
North Carolina,Dec 23 2020,78,297
North Carolina,Dec 22 2020,75,296
North Carolina,Dec 21 2020,64,295
North Carolina,Dec 20 2020,64,294
North Carolina,Dec 19 2020,74,293
North Carolina,Dec 18 2020,68,292
North Carolina,Dec 17 2020,84,291
North Carolina,Dec 16 2020,68,290
North Carolina,Dec 15 2020,81,289
North Carolina,Dec 14 2020,57,288
North Carolina,Dec 13 2020,80,287
North Carolina,Dec 12 2020,69,286
North Carolina,Dec 11 2020,65,285
North Carolina,Dec 10 2020,66,284
North Carolina,Dec  9 2020,58,283
North Carolina,Dec  8 2020,50,282
North Carolina,Dec  7 2020,51,281
North Carolina,Dec  6 2020,50,280
North Carolina,Dec  5 2020,49,279
North Carolina,Dec  4 2020,44,278
North Carolina,Dec  3 2020,43,277
North Carolina,Dec  2 2020,38,276
North Carolina,Dec  1 2020,37,275
North Carolina,Nov 30 2020,35,274
North Carolina,Nov 29 2020,48,273
North Carolina,Nov 28 2020,44,272
North Carolina,Nov 27 2020,42,271
North Carolina,Nov 26 2020,37,270
North Carolina,Nov 25 2020,34,269
North Carolina,Nov 24 2020,36,268
North Carolina,Nov 23 2020,49,267
North Carolina,Nov 22 2020,39,266
North Carolina,Nov 21 2020,46,265
North Carolina,Nov 20 2020,37,264
